Month - Year,4 ML Forecast Units,Sales Units
2/1/2016,1534455.19183982,1588674
1/1/2020,1181626.97121131,1190778
6/1/2020,1239191.61997908,1682290
4/1/2018,1273311.58610903,1324578
9/1/2016,1625920.86739723,1421312
12/1/2019,969705.452518014,917110
5/1/2017,1437603.30799846,1158884
3/1/2017,1505365.02335204,1314333
8/1/2017,1298322.73083625,1209115
4/1/2017,1542655.98005859,1278026
7/1/2020,1222277.45701093,1862770
1/1/2018,1171390.45913219,1205656
4/1/2019,1423356.07296829,1335149
11/1/2017,1039776.92311763,1104250
3/1/2020,1339829.41669056,1299506
8/1/2020,1456508.91554566,1656419
10/1/2019,1275476.18769085,1223630
7/1/2018,1213121.22894168,1179371
6/1/2016,1436301.6654966,1560758
10/1/2020,1519412.73912668,1504349
9/1/2019,1233993.46683857,1195011
11/1/2020,1453316.64219799,1317296
7/1/2016,1583210.34258091,1648362
8/1/2018,1230134.06584119,1318963
11/1/2019,1149237.02753852,1101481
6/1/2019,1310171.23037576,1180874
10/1/2016,1696017.35390623,1294332
12/1/2017,964032.520163064,963701
10/1/2017,1192172.03591088,1190504
2/1/2017,1484700.77973205,1117795
9/1/2018,1405117.56625089,1200329
8/1/2019,1330562.10650206,1254629
4/1/2016,1657804.25544203,1811243
7/1/2017,1369800.44475866,1144779
8/1/2016,1743515.4840193,1553777
1/1/2017,1547243.55048016,1170859
1/1/2016,1485806.87448203,1424419
5/1/2016,1476083.58335446,1576549
4/1/2020,1365280.54500531,1451863
6/1/2017,1357184.56098504,1115984
2/1/2019,1209094.96138568,1132351
12/1/2020,1241337.19223999,1173200
9/1/2020,1485073.48569597,1579824
9/1/2017,1275532.66580412,1152401
12/1/2018,1024671.93110102,992715
6/1/2018,1151900.02440154,1258801
1/1/2021,1452565.99793065,1487964
3/1/2016,1600459.85857655,1695565
12/1/2016,1324623.4285971,1112860
2/1/2020,1162332.14815265,1100002
3/1/2019,1397534.51445452,1336221
10/1/2018,1305753.25608401,1342624
5/1/2020,1347973.08790537,1637285
5/1/2018,1157360.21688314,1352079
11/1/2016,1486204.31005231,1232814
5/1/2019,1422729.62583639,1346089
11/1/2018,1094264.86686042,1225463
3/1/2018,1431743.54532064,1318806
1/1/2019,1165027.5158217,1236507
2/1/2018,1185404.21916497,1170086
7/1/2019,1268475.08512636,1180169
